Paper MM | v2: OBI + continuous skew + dynamic spread
  2 markets | 2 contracts | 10s interval
  [13:16:14] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:16:19] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=19c sprd=6 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:16:25] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:16:30] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=19c sprd=6 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:16:35] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:16:41] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=17c sprd=9 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:16:46] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:16:52] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=17c sprd=9 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:16:57] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:17:03] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=17c sprd=9 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:17:08] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:17:13] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=17c sprd=9 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:17:19] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:17:24] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=7 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:17:30] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:17:35] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:17:40] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:17:46] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=7 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:17:51] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:17:57] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=7 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:18:02] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:18:08] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=7 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:18:13] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:18:18] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=7 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:18:24] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:18:29] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=7 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:18:35] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:18:40] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:18:46] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:18:51] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=7 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:18:56] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
    TRADES KXLOLTOTALMAPS-26MAR19LYGEN-4: 2 new, vol=40 mode=PRE
  [13:19:02] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:19:07] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:19:13] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:19:18] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:19:24] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:19:29] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:19:34] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:19:40] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:19:45] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:19:51] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:19:56] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:20:01] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:20:07] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:20:12] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:20:18] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=18c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:20:23] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
    TRADES KXLOLTOTALMAPS-26MAR19LYGEN-4: 7 new, vol=227 mode=PRE
  [13:20:28] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=17c sprd=11 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:20:34] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
  [13:20:39] KXLOLTOTALMAPS-26MAR19LYGEN-4 mid=17c sprd=8 q_yes=- q_no=186 inv=2 pnl=-0.6c
  [13:20:45] KXNBASPREAD-26MAR19DETWAS-DET25 mid=23c sprd=4 q_yes=- q_no=484 inv=0 pnl=0.0c
